Experiment: Nash_Combination_Experiment_33
Generation: 88
Generation Type: u
Timestamp: 20231226_132319

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.2635366112498518, Adjusted Fitness: 60590139.917396404
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.2635366112498518, Adjusted Fitness: 60590139.917396404
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.2635366112498518, Adjusted Fitness: 60590139.917396404
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.2635366112498518, Adjusted Fitness: 60590139.917396404
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.0] - Base Fitness: 0.2833464362154784, Adjusted Fitness: 0.5800958339816676
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.2635366112498518, Adjusted Fitness: 60590139.917396404
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.2635366112498518, Adjusted Fitness: 60590139.917396404
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.2635366112498518, Adjusted Fitness: 60590139.917396404
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.0] - Base Fitness: 0.2833464362154784, Adjusted Fitness: 0.5800958339816676
[0.0126, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.703344998790175, 10.016209473406905] - Base Fitness: -0.4587652599200431, Adjusted Fitness: -0.4587652599200431
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.006, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: -0.20141899146295716, Adjusted Fitness: -0.20141899146295716
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.2635366112498518, Adjusted Fitness: 60590139.917396404
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.0] - Base Fitness: 0.2833464362154784, Adjusted Fitness: 0.5800958339816676
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.2635366112498518, Adjusted Fitness: 60590139.917396404
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.2635366112498518, Adjusted Fitness: 60590139.917396404
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.007894445590943, 10.181735037493183] - Base Fitness: 0.27109518718913167, Adjusted Fitness: 0.27226740823399853
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.2635366112498518, Adjusted Fitness: 60590139.917396404
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.2635366112498518, Adjusted Fitness: 60590139.917396404
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.2635366112498518, Adjusted Fitness: 60590139.917396404
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.2635366112498518, Adjusted Fitness: 60590139.917396404
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.2635366112498518, Adjusted Fitness: 60590139.917396404
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.2635366112498518, Adjusted Fitness: 60590139.917396404
[0.0085, 0.46, 0.11, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: -0.46499960548668606, Adjusted Fitness: -0.46499960548668606
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.2635366112498518, Adjusted Fitness: 60590139.917396404
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.2635366112498518, Adjusted Fitness: 60590139.917396404
[0.0126, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: -0.45529836514214705, Adjusted Fitness: -0.45529836514214705
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.2635366112498518, Adjusted Fitness: 60590139.917396404
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: -0.3762783578516914, Adjusted Fitness: -0.3762783578516914
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.2635366112498518, Adjusted Fitness: 60590139.917396404
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.2, -0.006, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: -0.27667085519757484, Adjusted Fitness: -0.27667085519757484
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.55223193773242] - Base Fitness: 0.2233171882399632, Adjusted Fitness: 0.22342317398366957
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.100612882523477, 10.181735037493183] - Base Fitness: 0.26789380611443997, Adjusted Fitness: 0.2684403382846487
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.2635366112498518, Adjusted Fitness: 60590139.917396404
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.2635366112498518, Adjusted Fitness: 60590139.917396404
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.2635366112498518, Adjusted Fitness: 60590139.917396404
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.2635366112498518, Adjusted Fitness: 60590139.917396404
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.0] - Base Fitness: 0.2833464362154784, Adjusted Fitness: 0.5800958339816676
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.2635366112498518, Adjusted Fitness: 60590139.917396404
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.2635366112498518, Adjusted Fitness: 60590139.917396404
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.005, 7.195959934473375, 10.181735037493183] - Base Fitness: -0.011232529222156503, Adjusted Fitness: 0.014312755281708542
[0.0126, 0.46, 0.11, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: -1.1602486225841695, Adjusted Fitness: -1.1602486225841695
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.2635366112498518, Adjusted Fitness: 60590139.917396404
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.2635366112498518, Adjusted Fitness: 60590139.917396404
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.2635366112498518, Adjusted Fitness: 60590139.917396404
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.2635366112498518, Adjusted Fitness: 60590139.917396404
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.2635366112498518, Adjusted Fitness: 60590139.917396404
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.358378723464761, 10.0] - Base Fitness: 0.27680857617842997, Adjusted Fitness: 0.27743927184316775
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.0, 10.181735037493183] - Base Fitness: -0.366524192803069, Adjusted Fitness: -0.366524192803069
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.005, 7.195959934473375, 10.181735037493183] - Base Fitness: -0.011232529222156503, Adjusted Fitness: 0.014312755281708542
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183] - Base Fitness: 0.2635366112498518, Adjusted Fitness: 60590139.917396404

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183]:
  Angle -10: cl=-0.5663828253746033, cd=0.23451368510723114, cm=-0.19014869630336761
  Angle -2: cl=-0.2229485809803009, cd=0.08848809450864792, cm=-0.10596604645252228
  Angle -1: cl=-0.16200551390647888, cd=0.08365999907255173, cm=-0.07677648961544037
  Angle 0: cl=-0.08922845870256424, cd=0.082761749625206, cm=-0.04880078136920929
  Angle 1: cl=-0.005687667056918144, cd=0.0829722061753273, cm=-0.026357457041740417
  Angle 2: cl=0.07882121950387955, cd=0.08402756601572037, cm=-0.011328622698783875
  Angle 3: cl=0.307221382856369, cd=0.0692114382982254, cm=-0.006192818284034729
  Angle 4: cl=0.42758357524871826, cd=0.07158887386322021, cm=-7.811188697814941e-05
  Angle 5: cl=0.5261363983154297, cd=0.07985534518957138, cm=0.0033634603023529053
  Angle 6: cl=0.6174452304840088, cd=0.08715330064296722, cm=0.005746662616729736
  Angle 7: cl=0.7069697976112366, cd=0.09375298768281937, cm=0.008242979645729065
  Angle 8: cl=0.7971561551094055, cd=0.10030976682901382, cm=0.009891495108604431
  Angle 9: cl=0.892301082611084, cd=0.10516921430826187, cm=0.0038536041975021362
  Angle 10: cl=0.9918051362037659, cd=0.11083376407623291, cm=-0.003989741206169128
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183]:
  Angle -10: cl=-0.5663828253746033, cd=0.23451368510723114, cm=-0.19014869630336761
  Angle -9: cl=-0.5925642848014832, cd=0.20165972411632538, cm=-0.18630234897136688
  Angle -8: cl=-0.6154856085777283, cd=0.16683951020240784, cm=-0.18526862561702728
  Angle -7: cl=-0.6539824604988098, cd=0.13167917728424072, cm=-0.1809167116880417
  Angle -6: cl=-0.6074949502944946, cd=0.11701738834381104, cm=-0.1662842184305191
  Angle -5: cl=-0.5005546808242798, cd=0.10472199320793152, cm=-0.15285126864910126
  Angle -4: cl=-0.40719807147979736, cd=0.09942161291837692, cm=-0.13990576565265656
  Angle -3: cl=-0.30603525042533875, cd=0.09372906386852264, cm=-0.12651707231998444
  Angle -2: cl=-0.22398346662521362, cd=0.08843113481998444, cm=-0.10544399917125702
  Angle -1: cl=-0.16300539672374725, cd=0.08363441377878189, cm=-0.07624588906764984
  Angle 0: cl=-0.0902714878320694, cd=0.08274197578430176, cm=-0.048215046525001526
  Angle 1: cl=-0.006735628470778465, cd=0.08302035927772522, cm=-0.025842681527137756
  Angle 2: cl=0.07770498842000961, cd=0.08402615040540695, cm=-0.010830268263816833
  Angle 3: cl=0.307661771774292, cd=0.0690293088555336, cm=-0.005752012133598328
  Angle 4: cl=0.42638951539993286, cd=0.07181651890277863, cm=0.00012123584747314453
  Angle 5: cl=0.5248367190361023, cd=0.08006997406482697, cm=0.0035102665424346924
  Angle 6: cl=0.616280734539032, cd=0.08734180778265, cm=0.005953490734100342
  Angle 7: cl=0.7060118317604065, cd=0.09395493566989899, cm=0.008408382534980774
  Angle 8: cl=0.7961682081222534, cd=0.10051525384187698, cm=0.010033488273620605
  Angle 9: cl=0.891299843788147, cd=0.10524620115756989, cm=0.003697916865348816
  Angle 10: cl=0.9909458756446838, cd=0.11099390685558319, cm=-0.0041857510805130005
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183]:
  Angle -10: cl=-0.5663828253746033, cd=0.23451368510723114, cm=-0.19014869630336761
  Angle -9: cl=-0.5925642848014832, cd=0.20165972411632538, cm=-0.18630234897136688
  Angle -8: cl=-0.6154856085777283, cd=0.16683951020240784, cm=-0.18526862561702728
  Angle -7: cl=-0.6539824604988098, cd=0.13167917728424072, cm=-0.1809167116880417
  Angle -6: cl=-0.6074949502944946, cd=0.11701738834381104, cm=-0.1662842184305191
  Angle -5: cl=-0.5005546808242798, cd=0.10472199320793152, cm=-0.15285126864910126
  Angle -4: cl=-0.40719807147979736, cd=0.09942161291837692, cm=-0.13990576565265656
  Angle -3: cl=-0.30603525042533875, cd=0.09372906386852264, cm=-0.12651707231998444
  Angle -2: cl=-0.22398346662521362, cd=0.08843113481998444, cm=-0.10544399917125702
  Angle -1: cl=-0.16300539672374725, cd=0.08363441377878189, cm=-0.07624588906764984
  Angle 0: cl=-0.0902714878320694, cd=0.08274197578430176, cm=-0.048215046525001526
  Angle 1: cl=-0.006735628470778465, cd=0.08302035927772522, cm=-0.025842681527137756
  Angle 2: cl=0.07770498842000961, cd=0.08402615040540695, cm=-0.010830268263816833
  Angle 3: cl=0.307661771774292, cd=0.0690293088555336, cm=-0.005752012133598328
  Angle 4: cl=0.42638951539993286, cd=0.07181651890277863, cm=0.00012123584747314453
  Angle 5: cl=0.5248367190361023, cd=0.08006997406482697, cm=0.0035102665424346924
  Angle 6: cl=0.616280734539032, cd=0.08734180778265, cm=0.005953490734100342
  Angle 7: cl=0.7060118317604065, cd=0.09395493566989899, cm=0.008408382534980774
  Angle 8: cl=0.7961682081222534, cd=0.10051525384187698, cm=0.010033488273620605
  Angle 9: cl=0.891299843788147, cd=0.10524620115756989, cm=0.003697916865348816
  Angle 10: cl=0.9909458756446838, cd=0.11099390685558319, cm=-0.0041857510805130005
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183]:
  Angle -10: cl=-0.5663828253746033, cd=0.23451368510723114, cm=-0.19014869630336761
  Angle -9: cl=-0.5925642848014832, cd=0.20165972411632538, cm=-0.18630234897136688
  Angle -8: cl=-0.6154856085777283, cd=0.16683951020240784, cm=-0.18526862561702728
  Angle -7: cl=-0.6539824604988098, cd=0.13167917728424072, cm=-0.1809167116880417
  Angle -6: cl=-0.6074949502944946, cd=0.11701738834381104, cm=-0.1662842184305191
  Angle -5: cl=-0.5005546808242798, cd=0.10472199320793152, cm=-0.15285126864910126
  Angle -4: cl=-0.40719807147979736, cd=0.09942161291837692, cm=-0.13990576565265656
  Angle -3: cl=-0.30603525042533875, cd=0.09372906386852264, cm=-0.12651707231998444
  Angle -2: cl=-0.22398346662521362, cd=0.08843113481998444, cm=-0.10544399917125702
  Angle -1: cl=-0.16300539672374725, cd=0.08363441377878189, cm=-0.07624588906764984
  Angle 0: cl=-0.0902714878320694, cd=0.08274197578430176, cm=-0.048215046525001526
  Angle 1: cl=-0.006735628470778465, cd=0.08302035927772522, cm=-0.025842681527137756
  Angle 2: cl=0.07770498842000961, cd=0.08402615040540695, cm=-0.010830268263816833
  Angle 3: cl=0.307661771774292, cd=0.0690293088555336, cm=-0.005752012133598328
  Angle 4: cl=0.42638951539993286, cd=0.07181651890277863, cm=0.00012123584747314453
  Angle 5: cl=0.5248367190361023, cd=0.08006997406482697, cm=0.0035102665424346924
  Angle 6: cl=0.616280734539032, cd=0.08734180778265, cm=0.005953490734100342
  Angle 7: cl=0.7060118317604065, cd=0.09395493566989899, cm=0.008408382534980774
  Angle 8: cl=0.7961682081222534, cd=0.10051525384187698, cm=0.010033488273620605
  Angle 9: cl=0.891299843788147, cd=0.10524620115756989, cm=0.003697916865348816
  Angle 10: cl=0.9909458756446838, cd=0.11099390685558319, cm=-0.0041857510805130005
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183]:
  Angle -10: cl=-0.5663828253746033, cd=0.23451368510723114, cm=-0.19014869630336761
  Angle -9: cl=-0.5925642848014832, cd=0.20165972411632538, cm=-0.18630234897136688
  Angle -8: cl=-0.6154856085777283, cd=0.16683951020240784, cm=-0.18526862561702728
  Angle -7: cl=-0.6539824604988098, cd=0.13167917728424072, cm=-0.1809167116880417
  Angle -6: cl=-0.6074949502944946, cd=0.11701738834381104, cm=-0.1662842184305191
  Angle -5: cl=-0.5005546808242798, cd=0.10472199320793152, cm=-0.15285126864910126
  Angle -4: cl=-0.40719807147979736, cd=0.09942161291837692, cm=-0.13990576565265656
  Angle -3: cl=-0.30603525042533875, cd=0.09372906386852264, cm=-0.12651707231998444
  Angle -2: cl=-0.22398346662521362, cd=0.08843113481998444, cm=-0.10544399917125702
  Angle -1: cl=-0.16300539672374725, cd=0.08363441377878189, cm=-0.07624588906764984
  Angle 0: cl=-0.0902714878320694, cd=0.08274197578430176, cm=-0.048215046525001526
  Angle 1: cl=-0.006735628470778465, cd=0.08302035927772522, cm=-0.025842681527137756
  Angle 2: cl=0.07770498842000961, cd=0.08402615040540695, cm=-0.010830268263816833
  Angle 3: cl=0.307661771774292, cd=0.0690293088555336, cm=-0.005752012133598328
  Angle 4: cl=0.42638951539993286, cd=0.07181651890277863, cm=0.00012123584747314453
  Angle 5: cl=0.5248367190361023, cd=0.08006997406482697, cm=0.0035102665424346924
  Angle 6: cl=0.616280734539032, cd=0.08734180778265, cm=0.005953490734100342
  Angle 7: cl=0.7060118317604065, cd=0.09395493566989899, cm=0.008408382534980774
  Angle 8: cl=0.7961682081222534, cd=0.10051525384187698, cm=0.010033488273620605
  Angle 9: cl=0.891299843788147, cd=0.10524620115756989, cm=0.003697916865348816
  Angle 10: cl=0.9909458756446838, cd=0.11099390685558319, cm=-0.0041857510805130005
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.0]:
  Angle -10: cl=-0.5665253400802612, cd=0.23472872376441956, cm=-0.19039101898670197
  Angle -9: cl=-0.5925757884979248, cd=0.20180225372314453, cm=-0.1865030974149704
  Angle -8: cl=-0.615192174911499, cd=0.16701021790504456, cm=-0.18562398850917816
  Angle -7: cl=-0.6538445949554443, cd=0.1319418102502823, cm=-0.18135859072208405
  Angle -6: cl=-0.606381893157959, cd=0.11726678162813187, cm=-0.16675634682178497
  Angle -5: cl=-0.4991030693054199, cd=0.10476691275835037, cm=-0.1532394140958786
  Angle -4: cl=-0.40598952770233154, cd=0.09946122765541077, cm=-0.14030615985393524
  Angle -3: cl=-0.30519598722457886, cd=0.09385526925325394, cm=-0.12689460813999176
  Angle -2: cl=-0.22259271144866943, cd=0.08859819918870926, cm=-0.1060166209936142
  Angle -1: cl=-0.1614716351032257, cd=0.08378980308771133, cm=-0.07684741914272308
  Angle 0: cl=-0.08773143589496613, cd=0.08287055045366287, cm=-0.04900316894054413
  Angle 1: cl=-0.004145810380578041, cd=0.08310376852750778, cm=-0.026561573147773743
  Angle 2: cl=0.0804043859243393, cd=0.0841621682047844, cm=-0.011615797877311707
  Angle 3: cl=0.3108142018318176, cd=0.06914904713630676, cm=-0.006604120135307312
  Angle 4: cl=0.43047896027565, cd=0.0715668797492981, cm=-0.0003342926502227783
  Angle 5: cl=0.5289932489395142, cd=0.07983551919460297, cm=0.0031071603298187256
  Angle 6: cl=0.6200019717216492, cd=0.08712645620107651, cm=0.005535826086997986
  Angle 7: cl=0.7096884846687317, cd=0.09371601790189743, cm=0.008017510175704956
  Angle 8: cl=0.7997827529907227, cd=0.10026589035987854, cm=0.009624451398849487
  Angle 9: cl=0.895069420337677, cd=0.10523195564746857, cm=0.0037647634744644165
  Angle 10: cl=0.9947959184646606, cd=0.11121950298547745, cm=-0.004066184163093567
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183]:
  Angle -10: cl=-0.5663828253746033, cd=0.23451368510723114, cm=-0.19014869630336761
  Angle -9: cl=-0.5925642848014832, cd=0.20165972411632538, cm=-0.18630234897136688
  Angle -8: cl=-0.6154856085777283, cd=0.16683951020240784, cm=-0.18526862561702728
  Angle -7: cl=-0.6539824604988098, cd=0.13167917728424072, cm=-0.1809167116880417
  Angle -6: cl=-0.6074949502944946, cd=0.11701738834381104, cm=-0.1662842184305191
  Angle -5: cl=-0.5005546808242798, cd=0.10472199320793152, cm=-0.15285126864910126
  Angle -4: cl=-0.40719807147979736, cd=0.09942161291837692, cm=-0.13990576565265656
  Angle -3: cl=-0.30603525042533875, cd=0.09372906386852264, cm=-0.12651707231998444
  Angle -2: cl=-0.22398346662521362, cd=0.08843113481998444, cm=-0.10544399917125702
  Angle -1: cl=-0.16300539672374725, cd=0.08363441377878189, cm=-0.07624588906764984
  Angle 0: cl=-0.0902714878320694, cd=0.08274197578430176, cm=-0.048215046525001526
  Angle 1: cl=-0.006735628470778465, cd=0.08302035927772522, cm=-0.025842681527137756
  Angle 2: cl=0.07770498842000961, cd=0.08402615040540695, cm=-0.010830268263816833
  Angle 3: cl=0.307661771774292, cd=0.0690293088555336, cm=-0.005752012133598328
  Angle 4: cl=0.42638951539993286, cd=0.07181651890277863, cm=0.00012123584747314453
  Angle 5: cl=0.5248367190361023, cd=0.08006997406482697, cm=0.0035102665424346924
  Angle 6: cl=0.616280734539032, cd=0.08734180778265, cm=0.005953490734100342
  Angle 7: cl=0.7060118317604065, cd=0.09395493566989899, cm=0.008408382534980774
  Angle 8: cl=0.7961682081222534, cd=0.10051525384187698, cm=0.010033488273620605
  Angle 9: cl=0.891299843788147, cd=0.10524620115756989, cm=0.003697916865348816
  Angle 10: cl=0.9909458756446838, cd=0.11099390685558319, cm=-0.0041857510805130005
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183]:
  Angle -10: cl=-0.5663828253746033, cd=0.23451368510723114, cm=-0.19014869630336761
  Angle -9: cl=-0.5925642848014832, cd=0.20165972411632538, cm=-0.18630234897136688
  Angle -8: cl=-0.6154856085777283, cd=0.16683951020240784, cm=-0.18526862561702728
  Angle -7: cl=-0.6539824604988098, cd=0.13167917728424072, cm=-0.1809167116880417
  Angle -6: cl=-0.6074949502944946, cd=0.11701738834381104, cm=-0.1662842184305191
  Angle -5: cl=-0.5005546808242798, cd=0.10472199320793152, cm=-0.15285126864910126
  Angle -4: cl=-0.40719807147979736, cd=0.09942161291837692, cm=-0.13990576565265656
  Angle -3: cl=-0.30603525042533875, cd=0.09372906386852264, cm=-0.12651707231998444
  Angle -2: cl=-0.22398346662521362, cd=0.08843113481998444, cm=-0.10544399917125702
  Angle -1: cl=-0.16300539672374725, cd=0.08363441377878189, cm=-0.07624588906764984
  Angle 0: cl=-0.0902714878320694, cd=0.08274197578430176, cm=-0.048215046525001526
  Angle 1: cl=-0.006735628470778465, cd=0.08302035927772522, cm=-0.025842681527137756
  Angle 2: cl=0.07770498842000961, cd=0.08402615040540695, cm=-0.010830268263816833
  Angle 3: cl=0.307661771774292, cd=0.0690293088555336, cm=-0.005752012133598328
  Angle 4: cl=0.42638951539993286, cd=0.07181651890277863, cm=0.00012123584747314453
  Angle 5: cl=0.5248367190361023, cd=0.08006997406482697, cm=0.0035102665424346924
  Angle 6: cl=0.616280734539032, cd=0.08734180778265, cm=0.005953490734100342
  Angle 7: cl=0.7060118317604065, cd=0.09395493566989899, cm=0.008408382534980774
  Angle 8: cl=0.7961682081222534, cd=0.10051525384187698, cm=0.010033488273620605
  Angle 9: cl=0.891299843788147, cd=0.10524620115756989, cm=0.003697916865348816
  Angle 10: cl=0.9909458756446838, cd=0.11099390685558319, cm=-0.0041857510805130005
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.005, 7.195959934473375, 10.181735037493183]:
  Angle -10: cl=-0.5438057780265808, cd=0.22601136565208435, cm=-0.18608267605304718
  Angle -9: cl=-0.5648655891418457, cd=0.19249308109283447, cm=-0.18440194427967072
  Angle -8: cl=-0.5868231654167175, cd=0.15755653381347656, cm=-0.18324242532253265
  Angle -7: cl=-0.6199826002120972, cd=0.12730051577091217, cm=-0.17375992238521576
  Angle -6: cl=-0.6023096442222595, cd=0.11187385767698288, cm=-0.1609107106924057
  Angle -5: cl=-0.5168889164924622, cd=0.1038740873336792, cm=-0.14637012779712677
  Angle -4: cl=-0.41790762543678284, cd=0.09806668013334274, cm=-0.1334550529718399
  Angle -3: cl=-0.3175221383571625, cd=0.09115421026945114, cm=-0.11747188866138458
  Angle -2: cl=-0.25663745403289795, cd=0.08549918979406357, cm=-0.0893213301897049
  Angle -1: cl=-0.19664734601974487, cd=0.08087987452745438, cm=-0.05981378257274628
  Angle 0: cl=-0.1271444708108902, cd=0.0811295136809349, cm=-0.03284265100955963
  Angle 1: cl=-0.05601867288351059, cd=0.08213020861148834, cm=-0.010814085602760315
  Angle 2: cl=0.02890438213944435, cd=0.08702969551086426, cm=0.0006365031003952026
  Angle 3: cl=0.26630279421806335, cd=0.07461085170507431, cm=0.0015878081321716309
  Angle 4: cl=0.3562593460083008, cd=0.08022328466176987, cm=0.0070410966873168945
  Angle 5: cl=0.45005562901496887, cd=0.0869271531701088, cm=0.010500416159629822
  Angle 6: cl=0.5513207912445068, cd=0.09406134486198425, cm=0.01300688087940216
  Angle 7: cl=0.6425915360450745, cd=0.10038699209690094, cm=0.014741793274879456
  Angle 8: cl=0.7338420152664185, cd=0.1036125123500824, cm=0.00731968879699707
  Angle 9: cl=0.828445553779602, cd=0.10774565488100052, cm=-0.0009697228670120239
  Angle 10: cl=0.9231182336807251, cd=0.11661725491285324, cm=-0.00952477753162384
Genotype [0.0126, 0.46, 0.11, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.195959934473375, 10.181735037493183]:
  Angle -10: cl=-0.6118708252906799, cd=0.2041870802640915, cm=-0.1792544573545456
